QueryNumber;[DocRanking, DocNumber, Similarity]
00001;[95, 198, 0.0]
00001;[96, 201, 0.0]
00001;[97, 202, 0.0]
00001;[98, 203, 0.0]
00001;[99, 206, 0.0]
00001;[100, 208, 0.0]
00001;[101, 210, 0.0]
00001;[102, 215, 0.0]
00001;[103, 220, 0.0]
00001;[104, 222, 0.0]
00001;[105, 223, 0.0]
00001;[106, 224, 0.0]
00001;[107, 225, 0.0]
00001;[108, 230, 0.0]
00001;[109, 237, 0.0]
00001;[110, 239, 0.0]
00001;[111, 241, 0.0]
00001;[112, 242, 0.0]
00001;[113, 243, 0.0]
00001;[114, 244, 0.0]
00001;[115, 245, 0.0]
00001;[116, 247, 0.0]
00001;[117, 248, 0.0]
00001;[118, 256, 0.0]
00001;[119, 257, 0.0]
00001;[120, 258, 0.0]
00001;[121, 261, 0.0]
00001;[122, 263, 0.0]
00001;[123, 266, 0.0]
00001;[124, 268, 0.0]
00001;[125, 276, 0.0]
00001;[126, 277, 0.0]
00001;[127, 278, 0.0]
00001;[128, 279, 0.0]
00001;[129, 281, 0.0]
00001;[130, 284, 0.0]
00001;[131, 286, 0.0]
00001;[132, 287, 0.0]
00001;[133, 290, 0.0]
00001;[134, 296, 0.0]
00001;[135, 297, 0.0]
00001;[136, 300, 0.0]
00001;[137, 301, 0.0]
00001;[138, 304, 0.0]
00001;[139, 305, 0.0]
00001;[140, 306, 0.0]
00001;[141, 308, 0.0]
00001;[142, 312, 0.0]
00001;[143, 313, 0.0]
00001;[144, 315, 0.0]
00001;[145, 322, 0.0]
00001;[146, 323, 0.0]
00001;[147, 324, 0.0]
00001;[148, 326, 0.0]
00001;[149, 327, 0.0]
00001;[150, 328, 0.0]
00001;[151, 330, 0.0]
00001;[152, 331, 0.0]
00001;[153, 332, 0.0]
00001;[154, 333, 0.0]
00001;[155, 334, 0.0]
00001;[156, 342, 0.0]
00001;[157, 344, 0.0]
00001;[158, 348, 0.0]
00001;[159, 350, 0.0]
00001;[160, 351, 0.0]
00001;[161, 352, 0.0]
00001;[162, 353, 0.0]
00001;[163, 359, 0.0]
00001;[164, 361, 0.0]
00001;[165, 363, 0.0]
00001;[166, 367, 0.0]
00001;[167, 368, 0.0]
00001;[168, 369, 0.0]
00001;[169, 370, 0.0]
00001;[170, 373, 0.0]
00001;[171, 378, 0.0]
00001;[172, 384, 0.0]
00001;[173, 386, 0.0]
00001;[174, 389, 0.0]
00001;[175, 390, 0.0]
00001;[176, 391, 0.0]
00001;[177, 392, 0.0]
00001;[178, 397, 0.0]
00001;[179, 398, 0.0]
00001;[180, 399, 0.0]
00001;[181, 400, 0.0]
00001;[182, 403, 0.0]
00001;[183, 405, 0.0]
00001;[184, 412, 0.0]
00001;[185, 417, 0.0]
00001;[186, 423, 0.0]
00001;[187, 427, 0.0]
00001;[188, 428, 0.0]
00001;[189, 432, 0.0]
00001;[190, 433, 0.0]
00001;[191, 434, 0.0]
00001;[192, 435, 0.0]
00001;[193, 436, 0.0]
00001;[194, 437, 0.0]
00001;[195, 438, 0.0]
00001;[196, 439, 0.0]
00001;[197, 440, 0.0]
00001;[198, 441, 0.0]
00001;[199, 442, 0.0]
00001;[200, 444, 0.0]
00001;[201, 445, 0.0]
00001;[202, 446, 0.0]
00001;[203, 447, 0.0]
00001;[204, 448, 0.0]
00001;[205, 450, 0.0]
00001;[206, 451, 0.0]
00001;[207, 453, 0.0]
00001;[208, 454, 0.0]
00001;[209, 456, 0.0]
00001;[210, 471, 0.0]
00001;[211, 478, 0.0]
00001;[212, 479, 0.0]
00001;[213, 483, 0.0]
00001;[214, 484, 0.0]
00001;[215, 485, 0.0]
00001;[216, 488, 0.0]
00001;[217, 489, 0.0]
00001;[218, 491, 0.0]
00001;[219, 496, 0.0]
00001;[220, 497, 0.0]
00001;[221, 498, 0.0]
00001;[222, 500, 0.0]
00001;[223, 501, 0.0]
00001;[224, 502, 0.0]
00001;[225, 503, 0.0]
00001;[226, 504, 0.0]
00001;[227, 507, 0.0]
00001;[228, 508, 0.0]
00001;[229, 510, 0.0]
00001;[230, 511, 0.0]
00001;[231, 513, 0.0]
00001;[232, 515, 0.0]
00001;[233, 516, 0.0]
00001;[234, 517, 0.0]
00001;[235, 519, 0.0]
00001;[236, 531, 0.0]
00001;[237, 534, 0.0]
00001;[238, 535, 0.0]
00001;[239, 536, 0.0]
00001;[240, 537, 0.0]
00001;[241, 538, 0.0]
00001;[242, 541, 0.0]
00001;[243, 542, 0.0]
00001;[244, 543, 0.0]
00001;[245, 544, 0.0]
00001;[246, 545, 0.0]
00001;[247, 546, 0.0]
00001;[248, 547, 0.0]
00001;[249, 552, 0.0]
00001;[250, 554, 0.0]
00001;[251, 559, 0.0]
00001;[252, 562, 0.0]
00001;[253, 563, 0.0]
00001;[254, 565, 0.0]
00001;[255, 566, 0.0]
00001;[256, 568, 0.0]
00001;[257, 570, 0.0]
00001;[258, 573, 0.0]
00001;[259, 575, 0.0]
00001;[260, 590, 0.0]
00001;[261, 592, 0.0]
00001;[262, 594, 0.0]
00001;[263, 596, 0.0]
00001;[264, 602, 0.0]
00001;[265, 607, 0.0]
00001;[266, 610, 0.0]
00001;[267, 612, 0.0]
00001;[268, 615, 0.0]
00001;[269, 616, 0.0]
00001;[270, 617, 0.0]
00001;[271, 618, 0.0]
00001;[272, 621, 0.0]
00001;[273, 623, 0.0]
00001;[274, 625, 0.0]
00001;[275, 627, 0.0]
00001;[276, 628, 0.0]
00001;[277, 633, 0.0]
00001;[278, 637, 0.0]
00001;[279, 643, 0.0]
00001;[280, 646, 0.0]
00001;[281, 648, 0.0]
00001;[282, 652, 0.0]
00001;[283, 654, 0.0]
00001;[284, 658, 0.0]
00001;[285, 660, 0.0]
00001;[286, 663, 0.0]
00001;[287, 664, 0.0]
00001;[288, 669, 0.0]
00001;[289, 670, 0.0]
00001;[290, 682, 0.0]
00001;[291, 685, 0.0]
00001;[292, 687, 0.0]
00001;[293, 694, 0.0]
00001;[294, 701, 0.0]
00001;[295, 702, 0.0]
00001;[296, 703, 0.0]
00001;[297, 705, 0.0]
00001;[298, 709, 0.0]
00001;[299, 716, 0.0]
00001;[300, 719, 0.0]
00001;[301, 721, 0.0]
00001;[302, 723, 0.0]
00001;[303, 732, 0.0]
00001;[304, 733, 0.0]
00001;[305, 734, 0.0]
00001;[306, 738, 0.0]
00001;[307, 739, 0.0]
00001;[308, 742, 0.0]
00001;[309, 753, 0.0]
00001;[310, 761, 0.0]
00001;[311, 764, 0.0]
00001;[312, 765, 0.0]
00001;[313, 768, 0.0]
00001;[314, 771, 0.0]
00001;[315, 772, 0.0]
00001;[316, 775, 0.0]
00001;[317, 776, 0.0]
00001;[318, 783, 0.0]
00001;[319, 784, 0.0]
00001;[320, 785, 0.0]
00001;[321, 789, 0.0]
00001;[322, 791, 0.0]
00001;[323, 794, 0.0]
00001;[324, 795, 0.0]
00001;[325, 799, 0.0]
00001;[326, 805, 0.0]
00001;[327, 810, 0.0]
00001;[328, 811, 0.0]
00001;[329, 814, 0.0]
00001;[330, 817, 0.0]
00001;[331, 818, 0.0]
00001;[332, 821, 0.0]
00001;[333, 822, 0.0]
00001;[334, 833, 0.0]
00001;[335, 835, 0.0]
00001;[336, 837, 0.0]
00001;[337, 840, 0.0]
00001;[338, 844, 0.0]
00001;[339, 845, 0.0]
00001;[340, 848, 0.0]
00001;[341, 851, 0.0]
00001;[342, 854, 0.0]
00001;[343, 856, 0.0]
00001;[344, 860, 0.0]
00001;[345, 861, 0.0]
00001;[346, 866, 0.0]
00001;[347, 869, 0.0]
00001;[348, 874, 0.0]
00001;[349, 875, 0.0]
00001;[350, 879, 0.0]
00001;[351, 881, 0.0]
00001;[352, 882, 0.0]
00001;[353, 885, 0.0]
00001;[354, 886, 0.0]
00001;[355, 890, 0.0]
00001;[356, 892, 0.0]
00001;[357, 893, 0.0]
00001;[358, 895, 0.0]
00001;[359, 901, 0.0]
00001;[360, 907, 0.0]
00001;[361, 914, 0.0]
00001;[362, 915, 0.0]
00001;[363, 919, 0.0]
00001;[364, 920, 0.0]
00001;[365, 923, 0.0]
00001;[366, 930, 0.0]
00001;[367, 933, 0.0]
00001;[368, 935, 0.0]
00001;[369, 942, 0.0]
00001;[370, 944, 0.0]
00001;[371, 945, 0.0]
00001;[372, 947, 0.0]
00001;[373, 949, 0.0]
00001;[374, 951, 0.0]
00001;[375, 965, 0.0]
00001;[376, 968, 0.0]
00001;[377, 970, 0.0]
00001;[378, 971, 0.0]
00001;[379, 973, 0.0]
00001;[380, 976, 0.0]
00001;[381, 977, 0.0]
00001;[382, 980, 0.0]
00001;[383, 990, 0.0]
00001;[384, 991, 0.0]
00001;[385, 994, 0.0]
00001;[386, 995, 0.0]
00001;[387, 997, 0.0]
00001;[388, 999, 0.0]
00001;[389, 1000, 0.0]
00001;[390, 1001, 0.0]
00001;[391, 1004, 0.0]
00001;[392, 1009, 0.0]
00001;[393, 1011, 0.0]
00001;[394, 1013, 0.0]
00001;[395, 1019, 0.0]
00001;[396, 1034, 0.0]
00001;[397, 1039, 0.0]
00001;[398, 1041, 0.0]
00001;[399, 1042, 0.0]
00001;[400, 1044, 0.0]
00001;[401, 1045, 0.0]
00001;[402, 1052, 0.0]
00001;[403, 1056, 0.0]
00001;[404, 1063, 0.0]
00001;[405, 1065, 0.0]
00001;[406, 1066, 0.0]
00001;[407, 1068, 0.0]
00001;[408, 1070, 0.0]
00001;[409, 1072, 0.0]
00001;[410, 1073, 0.0]
00001;[411, 1076, 0.0]
00001;[412, 1079, 0.0]
00001;[413, 1080, 0.0]
00001;[414, 1082, 0.0]
00001;[415, 1083, 0.0]
00001;[416, 1087, 0.0]
00001;[417, 1088, 0.0]
00001;[418, 1090, 0.0]
00001;[419, 1093, 0.0]
00001;[420, 1100, 0.0]
00001;[421, 1102, 0.0]
00001;[422, 1103, 0.0]
00001;[423, 1104, 0.0]
00001;[424, 1107, 0.0]
00001;[425, 1108, 0.0]
00001;[426, 1114, 0.0]
00001;[427, 1115, 0.0]
00001;[428, 1118, 0.0]
00001;[429, 1120, 0.0]
00001;[430, 1122, 0.0]
00001;[431, 1123, 0.0]
00001;[432, 1128, 0.0]
00001;[433, 1129, 0.0]
00001;[434, 1130, 0.0]
00001;[435, 1134, 0.0]
00001;[436, 1135, 0.0]
00001;[437, 1137, 0.0]
00001;[438, 1138, 0.0]
00001;[439, 1139, 0.0]
00001;[440, 1140, 0.0]
00001;[441, 1146, 0.0]
00001;[442, 1149, 0.0]
00001;[443, 1156, 0.0]
00001;[444, 1158, 0.0]
00001;[445, 1159, 0.0]
00001;[446, 1161, 0.0]
00001;[447, 1162, 0.0]
00001;[448, 1163, 0.0]
00001;[449, 1170, 0.0]
00001;[450, 1171, 0.0]
00001;[451, 1173, 0.0]
00001;[452, 1175, 0.0]
00001;[453, 1177, 0.0]
00001;[454, 1179, 0.0]
00001;[455, 1183, 0.0]
00001;[456, 1185, 0.0]
00001;[457, 1186, 0.0]
00001;[458, 1191, 0.0]
00001;[459, 1192, 0.0]
00001;[460, 1193, 0.0]
00001;[461, 1194, 0.0]
00001;[462, 1195, 0.0]
00001;[463, 1196, 0.0]
00001;[464, 1197, 0.0]
00001;[465, 1201, 0.0]
00001;[466, 1202, 0.0]
00001;[467, 1205, 0.0]
00001;[468, 1206, 0.0]
00001;[469, 1209, 0.0]
00001;[470, 1211, 0.0]
00001;[471, 1213, 0.0]
00001;[472, 1221, 0.0]
00001;[473, 1224, 0.0]
00001;[474, 1228, 0.0]
00001;[475, 1232, 0.0]
00001;[476, 1233, 0.0]
00001;[477, 1234, 0.0]
00001;[478, 1235, 0.0]
00001;[479, 1239, 0.0]
00001;[480, 1, 0.0]
00001;[481, 2, 0.0]
00001;[482, 3, 0.0]
00001;[483, 4, 0.0]
00001;[484, 5, 0.0]
00001;[485, 6, 0.0]
00001;[486, 9, 0.0]
00001;[487, 10, 0.0]
00001;[488, 11, 0.0]
00001;[489, 14, 0.0]
00001;[490, 16, 0.0]
00001;[491, 19, 0.0]
00001;[492, 20, 0.0]
00001;[493, 21, 0.0]
00001;[494, 22, 0.0]
00001;[495, 23, 0.0]
00001;[496, 24, 0.0]
00001;[497, 25, 0.0]
00001;[498, 26, 0.0]
00001;[499, 27, 0.0]
00001;[500, 29, 0.0]
00001;[501, 30, 0.0]
00001;[502, 31, 0.0]
00001;[503, 34, 0.0]
00001;[504, 35, 0.0]
00001;[505, 42, 0.0]
00001;[506, 44, 0.0]
00001;[507, 45, 0.0]
00001;[508, 50, 0.0]
00001;[509, 51, 0.0]
00001;[510, 52, 0.0]
00001;[511, 53, 0.0]
00001;[512, 54, 0.0]
00001;[513, 55, 0.0]
00001;[514, 57, 0.0]
00001;[515, 61, 0.0]
00001;[516, 62, 0.0]
00001;[517, 64, 0.0]
00001;[518, 66, 0.0]
00001;[519, 70, 0.0]
00001;[520, 71, 0.0]
00001;[521, 72, 0.0]
00001;[522, 74, 0.0]
00001;[523, 75, 0.0]
00001;[524, 80, 0.0]
00001;[525, 83, 0.0]
00001;[526, 84, 0.0]
00001;[527, 85, 0.0]
00001;[528, 87, 0.0]
00001;[529, 89, 0.0]
00001;[530, 90, 0.0]
00001;[531, 91, 0.0]
00001;[532, 93, 0.0]
00001;[533, 94, 0.0]
00001;[534, 95, 0.0]
00001;[535, 96, 0.0]
00001;[536, 98, 0.0]
00001;[537, 99, 0.0]
00001;[538, 100, 0.0]
00001;[539, 102, 0.0]
00001;[540, 104, 0.0]
00001;[541, 105, 0.0]
00001;[542, 107, 0.0]
00001;[543, 108, 0.0]
00001;[544, 109, 0.0]
00001;[545, 111, 0.0]
00001;[546, 113, 0.0]
00001;[547, 114, 0.0]
00001;[548, 115, 0.0]
00001;[549, 116, 0.0]
00001;[550, 119, 0.0]
00001;[551, 122, 0.0]
00001;[552, 123, 0.0]
00001;[553, 124, 0.0]
00001;[554, 125, 0.0]
00001;[555, 137, 0.0]
00001;[556, 138, 0.0]
00001;[557, 142, 0.0]
00001;[558, 144, 0.0]
00001;[559, 146, 0.0]
00001;[560, 147, 0.0]
00001;[561, 148, 0.0]
00001;[562, 149, 0.0]
00001;[563, 150, 0.0]
00001;[564, 154, 0.0]
00001;[565, 155, 0.0]
00001;[566, 159, 0.0]
00001;[567, 160, 0.0]
00001;[568, 161, 0.0]
00001;[569, 163, 0.0]
00001;[570, 164, 0.0]
00001;[571, 166, 0.0]
00001;[572, 167, 0.0]
00001;[573, 169, 0.0]
00001;[574, 170, 0.0]
00001;[575, 173, 0.0]
00001;[576, 174, 0.0]
00001;[577, 177, 0.0]
00001;[578, 178, 0.0]
00001;[579, 179, 0.0]
00001;[580, 180, 0.0]
00001;[581, 181, 0.0]
00001;[582, 184, 0.0]
00001;[583, 185, 0.0]
00001;[584, 187, 0.0]
00001;[585, 188, 0.0]
00001;[586, 190, 0.0]
00001;[587, 193, 0.0]
00001;[588, 194, 0.0]
00001;[589, 195, 0.0]
00001;[590, 196, 0.0]
00001;[591, 199, 0.0]
00001;[592, 200, 0.0]
00001;[593, 204, 0.0]
00001;[594, 205, 0.0]
00001;[595, 207, 0.0]
00001;[596, 209, 0.0]
00001;[597, 211, 0.0]
00001;[598, 212, 0.0]
00001;[599, 213, 0.0]
00001;[600, 214, 0.0]
00001;[601, 216, 0.0]
00001;[602, 217, 0.0]
00001;[603, 218, 0.0]
00001;[604, 219, 0.0]
00001;[605, 221, 0.0]
00001;[606, 226, 0.0]
00001;[607, 227, 0.0]
00001;[608, 228, 0.0]
00001;[609, 229, 0.0]
00001;[610, 231, 0.0]
00001;[611, 232, 0.0]
00001;[612, 233, 0.0]
00001;[613, 234, 0.0]
00001;[614, 235, 0.0]
00001;[615, 236, 0.0]
00001;[616, 238, 0.0]
00001;[617, 240, 0.0]
00001;[618, 246, 0.0]
00001;[619, 249, 0.0]
00001;[620, 250, 0.0]
00001;[621, 251, 0.0]
00001;[622, 252, 0.0]
00001;[623, 253, 0.0]
00001;[624, 254, 0.0]
00001;[625, 255, 0.0]
00001;[626, 259, 0.0]
00001;[627, 260, 0.0]
00001;[628, 262, 0.0]
00001;[629, 264, 0.0]
00001;[630, 265, 0.0]
00001;[631, 267, 0.0]
00001;[632, 269, 0.0]
00001;[633, 270, 0.0]
00001;[634, 271, 0.0]
00001;[635, 272, 0.0]
00001;[636, 273, 0.0]
00001;[637, 274, 0.0]
00001;[638, 275, 0.0]
00001;[639, 283, 0.0]
00001;[640, 285, 0.0]
00001;[641, 288, 0.0]
00001;[642, 289, 0.0]
00001;[643, 291, 0.0]
00001;[644, 292, 0.0]
00001;[645, 293, 0.0]
00001;[646, 294, 0.0]
00001;[647, 295, 0.0]
00001;[648, 302, 0.0]
00001;[649, 303, 0.0]
00001;[650, 307, 0.0]
00001;[651, 309, 0.0]
00001;[652, 310, 0.0]
00001;[653, 311, 0.0]
00001;[654, 314, 0.0]
00001;[655, 316, 0.0]
00001;[656, 317, 0.0]
00001;[657, 318, 0.0]
00001;[658, 319, 0.0]
00001;[659, 320, 0.0]
00001;[660, 321, 0.0]
00001;[661, 325, 0.0]
00001;[662, 335, 0.0]
00001;[663, 336, 0.0]
00001;[664, 337, 0.0]
00001;[665, 339, 0.0]
00001;[666, 340, 0.0]
00001;[667, 341, 0.0]
00001;[668, 343, 0.0]
00001;[669, 345, 0.0]
00001;[670, 346, 0.0]
00001;[671, 347, 0.0]
00001;[672, 349, 0.0]
00001;[673, 354, 0.0]
00001;[674, 355, 0.0]
00001;[675, 356, 0.0]
00001;[676, 357, 0.0]
00001;[677, 358, 0.0]
00001;[678, 360, 0.0]
00001;[679, 362, 0.0]
00001;[680, 364, 0.0]
00001;[681, 365, 0.0]
00001;[682, 366, 0.0]
00001;[683, 371, 0.0]
00001;[684, 372, 0.0]
00001;[685, 374, 0.0]
00001;[686, 375, 0.0]
00001;[687, 376, 0.0]
00001;[688, 379, 0.0]
00001;[689, 380, 0.0]
00001;[690, 381, 0.0]
00001;[691, 382, 0.0]
00001;[692, 383, 0.0]
00001;[693, 385, 0.0]
00001;[694, 387, 0.0]
00001;[695, 388, 0.0]
00001;[696, 393, 0.0]
00001;[697, 394, 0.0]
00001;[698, 395, 0.0]
00001;[699, 396, 0.0]
00001;[700, 401, 0.0]
00001;[701, 402, 0.0]
00001;[702, 404, 0.0]
00001;[703, 406, 0.0]
00001;[704, 407, 0.0]
00001;[705, 408, 0.0]
00001;[706, 409, 0.0]
00001;[707, 410, 0.0]
00001;[708, 411, 0.0]
00001;[709, 413, 0.0]
00001;[710, 414, 0.0]
00001;[711, 415, 0.0]
00001;[712, 416, 0.0]
00001;[713, 418, 0.0]
00001;[714, 419, 0.0]
00001;[715, 420, 0.0]
00001;[716, 421, 0.0]
00001;[717, 422, 0.0]
00001;[718, 424, 0.0]
00001;[719, 425, 0.0]
00001;[720, 426, 0.0]
00001;[721, 429, 0.0]
00001;[722, 430, 0.0]
00001;[723, 431, 0.0]
00001;[724, 443, 0.0]
00001;[725, 449, 0.0]
00001;[726, 452, 0.0]
00001;[727, 455, 0.0]
00001;[728, 457, 0.0]
00001;[729, 458, 0.0]
00001;[730, 459, 0.0]
00001;[731, 460, 0.0]
00001;[732, 461, 0.0]
00001;[733, 462, 0.0]
00001;[734, 463, 0.0]
00001;[735, 464, 0.0]
00001;[736, 466, 0.0]
00001;[737, 467, 0.0]
00001;[738, 468, 0.0]
00001;[739, 469, 0.0]
00001;[740, 470, 0.0]
00001;[741, 472, 0.0]
00001;[742, 473, 0.0]
00001;[743, 474, 0.0]
00001;[744, 475, 0.0]
00001;[745, 476, 0.0]
00001;[746, 477, 0.0]
00001;[747, 480, 0.0]
00001;[748, 481, 0.0]
00001;[749, 482, 0.0]
00001;[750, 486, 0.0]
00001;[751, 487, 0.0]
00001;[752, 492, 0.0]
00001;[753, 494, 0.0]
00001;[754, 495, 0.0]
00001;[755, 499, 0.0]
00001;[756, 506, 0.0]
00001;[757, 509, 0.0]
00001;[758, 514, 0.0]
00001;[759, 518, 0.0]
00001;[760, 520, 0.0]
00001;[761, 521, 0.0]
00001;[762, 522, 0.0]
00001;[763, 523, 0.0]
00001;[764, 524, 0.0]
00001;[765, 525, 0.0]
00001;[766, 526, 0.0]
00001;[767, 527, 0.0]
00001;[768, 528, 0.0]
00001;[769, 529, 0.0]
00001;[770, 530, 0.0]
00001;[771, 532, 0.0]
00001;[772, 533, 0.0]
00001;[773, 539, 0.0]
00001;[774, 540, 0.0]
00001;[775, 548, 0.0]
00001;[776, 549, 0.0]
00001;[777, 550, 0.0]
00001;[778, 553, 0.0]
00001;[779, 555, 0.0]
00001;[780, 556, 0.0]
00001;[781, 557, 0.0]
00001;[782, 560, 0.0]
00001;[783, 561, 0.0]
00001;[784, 564, 0.0]
00001;[785, 567, 0.0]
00001;[786, 569, 0.0]
00001;[787, 571, 0.0]
00001;[788, 572, 0.0]
00001;[789, 574, 0.0]
00001;[790, 576, 0.0]
00001;[791, 577, 0.0]
00001;[792, 578, 0.0]
00001;[793, 579, 0.0]
00001;[794, 580, 0.0]
00001;[795, 581, 0.0]
00001;[796, 582, 0.0]
00001;[797, 583, 0.0]
00001;[798, 584, 0.0]
00001;[799, 585, 0.0]
00001;[800, 586, 0.0]
00001;[801, 587, 0.0]
00001;[802, 588, 0.0]
00001;[803, 589, 0.0]
00001;[804, 591, 0.0]
00001;[805, 593, 0.0]
00001;[806, 597, 0.0]
00001;[807, 598, 0.0]
00001;[808, 599, 0.0]
00001;[809, 600, 0.0]
00001;[810, 601, 0.0]
00001;[811, 603, 0.0]
00001;[812, 604, 0.0]
00001;[813, 605, 0.0]
00001;[814, 606, 0.0]
00001;[815, 608, 0.0]
00001;[816, 609, 0.0]
00001;[817, 611, 0.0]
00001;[818, 613, 0.0]
00001;[819, 614, 0.0]
00001;[820, 619, 0.0]
00001;[821, 622, 0.0]
00001;[822, 624, 0.0]
00001;[823, 626, 0.0]
00001;[824, 629, 0.0]
00001;[825, 630, 0.0]
00001;[826, 631, 0.0]
00001;[827, 632, 0.0]
00001;[828, 634, 0.0]
00001;[829, 635, 0.0]
00001;[830, 636, 0.0]
00001;[831, 638, 0.0]
00001;[832, 639, 0.0]
00001;[833, 640, 0.0]
00001;[834, 641, 0.0]
00001;[835, 642, 0.0]
00001;[836, 644, 0.0]
00001;[837, 645, 0.0]
00001;[838, 647, 0.0]
00001;[839, 649, 0.0]
00001;[840, 650, 0.0]
00001;[841, 651, 0.0]
00001;[842, 653, 0.0]
00001;[843, 655, 0.0]
00001;[844, 656, 0.0]
00001;[845, 659, 0.0]
00001;[846, 661, 0.0]
00001;[847, 662, 0.0]
00001;[848, 665, 0.0]
00001;[849, 666, 0.0]
00001;[850, 667, 0.0]
00001;[851, 668, 0.0]
00001;[852, 671, 0.0]
00001;[853, 672, 0.0]
00001;[854, 673, 0.0]
00001;[855, 674, 0.0]
00001;[856, 675, 0.0]
00001;[857, 676, 0.0]
00001;[858, 677, 0.0]
00001;[859, 678, 0.0]
00001;[860, 679, 0.0]
00001;[861, 680, 0.0]
00001;[862, 681, 0.0]
00001;[863, 683, 0.0]
00001;[864, 684, 0.0]
00001;[865, 686, 0.0]
00001;[866, 688, 0.0]
00001;[867, 689, 0.0]
00001;[868, 690, 0.0]
00001;[869, 691, 0.0]
00001;[870, 692, 0.0]
00001;[871, 693, 0.0]
00001;[872, 695, 0.0]
00001;[873, 696, 0.0]
00001;[874, 697, 0.0]
00001;[875, 698, 0.0]
00001;[876, 699, 0.0]
00001;[877, 704, 0.0]
00001;[878, 706, 0.0]
00001;[879, 707, 0.0]
00001;[880, 708, 0.0]
00001;[881, 710, 0.0]
00001;[882, 711, 0.0]
00001;[883, 713, 0.0]
00001;[884, 714, 0.0]
00001;[885, 715, 0.0]
00001;[886, 717, 0.0]
00001;[887, 718, 0.0]
00001;[888, 720, 0.0]
00001;[889, 722, 0.0]
00001;[890, 724, 0.0]
00001;[891, 725, 0.0]
00001;[892, 727, 0.0]
00001;[893, 728, 0.0]
00001;[894, 730, 0.0]
00001;[895, 731, 0.0]
00001;[896, 736, 0.0]
00001;[897, 737, 0.0]
00001;[898, 740, 0.0]
00001;[899, 741, 0.0]
00001;[900, 743, 0.0]
00001;[901, 744, 0.0]
00001;[902, 745, 0.0]
00001;[903, 746, 0.0]
00001;[904, 747, 0.0]
00001;[905, 748, 0.0]
00001;[906, 749, 0.0]
00001;[907, 750, 0.0]
00001;[908, 751, 0.0]
00001;[909, 752, 0.0]
00001;[910, 754, 0.0]
00001;[911, 755, 0.0]
00001;[912, 756, 0.0]
00001;[913, 757, 0.0]
00001;[914, 758, 0.0]
00001;[915, 759, 0.0]
00001;[916, 760, 0.0]
00001;[917, 762, 0.0]
00001;[918, 763, 0.0]
00001;[919, 766, 0.0]
00001;[920, 769, 0.0]
00001;[921, 770, 0.0]
00001;[922, 773, 0.0]
